Index,Season,HomeTeam,AwayTeam,HomeGoals,AwayGoals,Result,day_of_week
107,2023/24,Nott'm Forest,Aston Villa,2,0,H,Sunday
108,2023/24,Luton,Liverpool,1,1,D,Sunday
109,2023/24,Tottenham,Chelsea,1,4,A,Monday
110,2023/24,Wolves,Tottenham,2,1,H,Saturday
111,2023/24,Arsenal,Burnley,3,1,H,Saturday
112,2023/24,Crystal Palace,Everton,2,3,A,Saturday
113,2023/24,Man United,Luton,1,0,H,Saturday
114,2023/24,Bournemouth,Newcastle,2,0,H,Saturday
115,2023/24,Aston Villa,Fulham,3,1,H,Sunday
116,2023/24,Brighton,Sheffield United,1,1,D,Sunday
117,2023/24,Liverpool,Brentford,3,0,H,Sunday
118,2023/24,West Ham,Nott'm Forest,3,2,H,Sunday
119,2023/24,Chelsea,Man City,4,4,D,Sunday
120,2023/24,Man City,Liverpool,1,1,D,Saturday
121,2023/24,Burnley,West Ham,1,2,A,Saturday
122,2023/24,Luton,Crystal Palace,2,1,H,Saturday
123,2023/24,Newcastle,Chelsea,4,1,H,Saturday
124,2023/24,Nott'm Forest,Brighton,2,3,A,Saturday
125,2023/24,Sheffield United,Bournemouth,1,3,A,Saturday
126,2023/24,Brentford,Arsenal,0,1,A,Saturday
127,2023/24,Tottenham,Aston Villa,1,2,A,Sunday
128,2023/24,Everton,Man United,0,3,A,Sunday
129,2023/24,Fulham,Wolves,3,2,H,Monday
130,2023/24,Arsenal,Wolves,2,1,H,Saturday
131,2023/24,Brentford,Luton,3,1,H,Saturday
132,2023/24,Burnley,Sheffield United,5,0,H,Saturday
133,2023/24,Nott'm Forest,Everton,0,1,A,Saturday
134,2023/24,Newcastle,Man United,1,0,H,Saturday
135,2023/24,Bournemouth,Aston Villa,2,2,D,Sunday
136,2023/24,Chelsea,Brighton,3,2,H,Sunday
137,2023/24,Liverpool,Fulham,4,3,H,Sunday
138,2023/24,West Ham,Crystal Palace,1,1,D,Sunday
139,2023/24,Man City,Tottenham,3,3,D,Sunday
140,2023/24,Wolves,Burnley,1,0,H,Tuesday
141,2023/24,Luton,Arsenal,3,4,A,Tuesday
142,2023/24,Brighton,Brentford,2,1,H,Wednesday
143,2023/24,Crystal Palace,Bournemouth,0,2,A,Wednesday
144,2023/24,Fulham,Nott'm Forest,5,0,H,Wednesday
145,2023/24,Sheffield United,Liverpool,0,2,A,Wednesday
146,2023/24,Aston Villa,Man City,1,0,H,Wednesday
147,2023/24,Man United,Chelsea,2,1,H,Wednesday
148,2023/24,Everton,Newcastle,3,0,H,Thursday
149,2023/24,Tottenham,West Ham,1,2,A,Thursday
150,2023/24,Crystal Palace,Liverpool,1,2,A,Saturday
151,2023/24,Brighton,Burnley,1,1,D,Saturday
152,2023/24,Man United,Bournemouth,0,3,A,Saturday
153,2023/24,Sheffield United,Brentford,1,0,H,Saturday
154,2023/24,Wolves,Nott'm Forest,1,1,D,Saturday
155,2023/24,Aston Villa,Arsenal,1,0,H,Saturday
156,2023/24,Everton,Chelsea,2,0,H,Sunday
157,2023/24,Fulham,West Ham,5,0,H,Sunday
158,2023/24,Luton,Man City,1,2,A,Sunday
159,2023/24,Tottenham,Newcastle,4,1,H,Sunday
160,2023/24,Nott'm Forest,Tottenham,0,2,A,Friday
161,2023/24,Chelsea,Sheffield United,2,0,H,Saturday
162,2023/24,Man City,Crystal Palace,2,2,D,Saturday
163,2023/24,Newcastle,Fulham,3,0,H,Saturday
164,2023/24,Burnley,Everton,0,2,A,Saturday
165,2023/24,Arsenal,Brighton,2,0,H,Sunday
166,2023/24,Brentford,Aston Villa,1,2,A,Sunday
167,2023/24,West Ham,Wolves,3,0,H,Sunday
168,2023/24,Liverpool,Man United,0,0,D,Sunday
169,2023/24,Crystal Palace,Brighton,1,1,D,Thursday
170,2023/24,Aston Villa,Sheffield United,1,1,D,Friday
171,2023/24,West Ham,Man United,2,0,H,Saturday
172,2023/24,Fulham,Burnley,0,2,A,Saturday
173,2023/24,Luton,Newcastle,1,0,H,Saturday
174,2023/24,Nott'm Forest,Bournemouth,2,3,A,Saturday
175,2023/24,Tottenham,Everton,2,1,H,Saturday
176,2023/24,Liverpool,Arsenal,1,1,D,Saturday
177,2023/24,Wolves,Chelsea,2,1,H,Sunday
178,2023/24,Newcastle,Nott'm Forest,1,3,A,Tuesday
179,2023/24,Bournemouth,Fulham,3,0,H,Tuesday
180,2023/24,Sheffield United,Luton,2,3,A,Tuesday
181,2023/24,Burnley,Liverpool,0,2,A,Tuesday
182,2023/24,Man United,Aston Villa,3,2,H,Tuesday
183,2023/24,Brentford,Wolves,1,4,A,Wednesday
184,2023/24,Chelsea,Crystal Palace,2,1,H,Wednesday
185,2023/24,Everton,Man City,1,3,A,Wednesday
186,2023/24,Brighton,Tottenham,4,2,H,Thursday
187,2023/24,Arsenal,West Ham,0,2,A,Thursday
188,2023/24,Luton,Chelsea,2,3,A,Saturday
189,2023/24,Aston Villa,Burnley,3,2,H,Saturday
190,2023/24,Crystal Palace,Brentford,3,1,H,Saturday
191,2023/24,Man City,Sheffield United,2,0,H,Saturday
192,2023/24,Wolves,Everton,3,0,H,Saturday
193,2023/24,Nott'm Forest,Man United,2,1,H,Saturday
194,2023/24,Fulham,Arsenal,2,1,H,Sunday
195,2023/24,Tottenham,Bournemouth,3,1,H,Sunday
196,2023/24,Liverpool,Newcastle,4,2,H,Monday
197,2023/24,West Ham,Brighton,0,0,D,Tuesday
198,2023/24,Burnley,Luton,1,1,D,Friday
199,2023/24,Chelsea,Fulham,1,0,H,Saturday
200,2023/24,Newcastle,Man City,2,3,A,Saturday
201,2023/24,Everton,Aston Villa,0,0,D,Sunday
202,2023/24,Man United,Tottenham,2,2,D,Sunday
203,2023/24,Arsenal,Crystal Palace,5,0,H,Saturday
204,2023/24,Brentford,Nott'm Forest,3,2,H,Saturday
205,2023/24,Sheffield United,West Ham,2,2,D,Sunday
206,2023/24,Bournemouth,Liverpool,0,4,A,Sunday
207,2023/24,Brighton,Wolves,0,0,D,Monday
208,2023/24,Nott'm Forest,Arsenal,1,2,A,Tuesday
209,2023/24,Fulham,Everton,0,0,D,Tuesday
210,2023/24,Luton,Brighton,4,0,H,Tuesday
